Switch#show mac address-table 
        Mac Address Table (Total 498)
------------------------------------------

Vlan    Mac Address       Type       Ports
1       40ae.30c5.691b    DYNAMIC    gpon0/12:44-1
700     44a3.c725.d098    DYNAMIC    gpon0/2:59-1
700     44a3.c726.50c0    DYNAMIC    gpon0/1:94-1
1       f009.0d91.91a3    DYNAMIC    gpon0/5:35-1
1       f009.0d91.91a2    DYNAMIC    gpon0/5:35-1
1       a86e.84db.5e1d    DYNAMIC    gpon0/8:48-1
1       f009.0d91.91a5    DYNAMIC    gpon0/5:35-1
1       a86e.84db.5e1a    DYNAMIC    gpon0/8:48-1
1       a86e.84db.5e1b    DYNAMIC    gpon0/8:48-1
700     0433.896f.1e1b    DYNAMIC    gpon0/1:45-1
700     e868.19e6.09d1    DYNAMIC    gpon0/1:24-1
1       a86e.84db.5e02    DYNAMIC    gpon0/4:47-1
700     20ab.4822.2245    DYNAMIC    gpon0/6:1-1
1       a86e.84db.5e05    DYNAMIC    gpon0/4:47-1
700     cc64.a663.67d9    DYNAMIC    gpon0/1:21-1
700     20ab.4822.22e1    DYNAMIC    gpon0/5:63-1
700     cc64.a698.6566    DYNAMIC    gpon0/2:49-1
700     cc20.8cc6.bdee    DYNAMIC    gpon0/6:29-1
700     9835.edf0.f5b9    DYNAMIC    gpon0/9:16-1
700     f875.8841.32f6    DYNAMIC    gpon0/9:33-1
700     0055.b169.5974    DYNAMIC    gpon0/1:9-1
700     2416.6d91.2646    DYNAMIC    gpon0/2:9-1
700     c81f.bebb.bc29    DYNAMIC    gpon0/9:20-1
700     c88d.84b1.8b7c    DYNAMIC    gpon0/4:14-1
700     0c84.0814.8fc1    DYNAMIC    gpon0/5:45-1
700     3458.4092.adc1    DYNAMIC    gpon0/2:20-1
700     a8f5.a2b8.d96d    DYNAMIC    gpon0/9:27-1
700     e43e.c603.228e    DYNAMIC    gpon0/1:92-1
700     b4fb.f92e.90c4    DYNAMIC    gpon0/12:6-1
700     a8f5.a2a6.f926    DYNAMIC    gpon0/2:22-1
700     4cf9.5d2b.08df    DYNAMIC    gpon0/5:65-1
700     20ab.4822.2286    DYNAMIC    gpon0/5:40-1
700     2841.c779.4c5a    DYNAMIC    gpon0/3:15-1
700     d06f.82f1.1311    DYNAMIC    gpon0/8:45-1
700     2841.c6ca.9626    DYNAMIC    gpon0/3:32-1
700     788c.b556.9087    DYNAMIC    gpon0/3:54-1
700     902b.348b.7c85    DYNAMIC    gpon0/1:76-1
700     3458.4092.ade8    DYNAMIC    gpon0/8:27-1
700     8866.395a.80d0    DYNAMIC    gpon0/5:59-1
700     10c1.7240.8db6    DYNAMIC    gpon0/5:20-1
700     2841.c791.9b77    DYNAMIC    gpon0/2:34-1
700     4cf9.5d36.5ddf    DYNAMIC    gpon0/3:8-1
700     d0ef.c15d.5a58    DYNAMIC    gpon0/6:42-1
700     3c15.fbcd.86bd    DYNAMIC    gpon0/5:43-1
700     d0ef.c1cf.c6d0    DYNAMIC    gpon0/12:26-1
700     b4fb.f955.9b3a    DYNAMIC    gpon0/1:68-1
700     788c.b556.7a47    DYNAMIC    gpon0/1:73-1
700     2c97.b1e3.503b    DYNAMIC    gpon0/9:11-1
700     44a3.c726.9ad6    DYNAMIC    gpon0/6:53-1
700     f44c.7f00.e75f    DYNAMIC    gpon0/1:15-1
700     0055.b169.53e4    DYNAMIC    gpon0/1:44-1
700     3458.40a1.5841    DYNAMIC    gpon0/2:67-1
700     bc3f.8f06.2109    DYNAMIC    gpon0/3:45-1
700     8cfd.18d4.e106    DYNAMIC    gpon0/9:52-1
700     f063.f9ce.832d    DYNAMIC    gpon0/6:12-1
700     80b5.7522.f8cc    DYNAMIC    gpon0/8:18-1
700     788c.b556.6557    DYNAMIC    gpon0/5:53-1
700     0055.b169.5334    DYNAMIC    gpon0/1:64-1
700     dcc6.4b19.9540    DYNAMIC    gpon0/6:28-1
700     3458.40a1.4772    DYNAMIC    gpon0/8:11-1
700     44a3.c725.c5f4    DYNAMIC    gpon0/5:72-1
700     44a3.c725.c5fa    DYNAMIC    gpon0/8:42-1
700     44a3.c725.c5ee    DYNAMIC    gpon0/6:62-1
700     e472.e230.2a00    DYNAMIC    gpon0/8:29-1
700     c81f.bc6f.99e8    DYNAMIC    gpon0/1:19-1
700     20ab.4822.29f0    DYNAMIC    gpon0/1:14-1
700     7cc3.85ae.8c3f    DYNAMIC    gpon0/3:28-1
700     e472.e287.b72b    DYNAMIC    gpon0/9:34-1
700     c81f.bc83.dba2    DYNAMIC    gpon0/9:43-1
700     4cf9.5d36.3c2f    DYNAMIC    gpon0/5:21-1
700     7cd9.a01b.b05b    DYNAMIC    gpon0/6:21-1
700     18de.d7b5.91c6    DYNAMIC    gpon0/5:2-1
700     e4dc.cc13.c7a5    DYNAMIC    gpon0/9:39-1
700     44a3.c725.db24    DYNAMIC    gpon0/1:103-1
700     80b5.7523.b9eb    DYNAMIC    gpon0/4:33-1
700     c0ff.a89f.71fa    DYNAMIC    gpon0/6:51-1
700     0cc6.cc1b.79bf    DYNAMIC    gpon0/8:34-1
700     a8f5.a2b6.d264    DYNAMIC    gpon0/2:6-1
700     c81f.bc71.a6bc    DYNAMIC    gpon0/3:3-1
700     c81f.bec5.56ff    DYNAMIC    gpon0/2:24-1
700     cc64.a651.ac1b    DYNAMIC    gpon0/1:60-1
700     0cc6.cc2d.a660    DYNAMIC    gpon0/4:16-1
700     04fe.8d97.bf6a    DYNAMIC    gpon0/3:2-1
700     788c.b556.44f7    DYNAMIC    gpon0/5:60-1
700     cc64.a67d.531c    DYNAMIC    gpon0/12:39-1
700     5c09.7936.8850    DYNAMIC    gpon0/5:41-1
700     84a9.c496.92c1    DYNAMIC    gpon0/2:25-1
700     3c78.43f4.f01c    DYNAMIC    gpon0/5:39-1
700     e472.e203.6b6d    DYNAMIC    gpon0/6:33-1
700     a008.6f38.53af    DYNAMIC    gpon0/1:23-1
700     bc3f.8fbd.5cc7    DYNAMIC    gpon0/6:19-1
700     8069.334c.7d29    DYNAMIC    gpon0/12:30-1
700     a8f5.a2b9.2d46    DYNAMIC    gpon0/4:13-1
700     0cc6.cc21.e625    DYNAMIC    gpon0/3:30-1
700     a8f5.a2b2.902f    DYNAMIC    gpon0/3:20-1
700     44a3.c725.c6b4    DYNAMIC    gpon0/5:11-1
700     407d.0f0f.772a    DYNAMIC    gpon0/5:12-1
700     1457.9f16.2562    DYNAMIC    gpon0/9:46-1
700     1409.dc17.143b    DYNAMIC    gpon0/1:66-1
700     44a3.c725.c690    DYNAMIC    gpon0/3:66-1
700     44a3.c726.9902    DYNAMIC    gpon0/4:37-1
700     cc64.a69d.93d1    DYNAMIC    gpon0/1:7-1
700     9835.ede3.a3c1    DYNAMIC    gpon0/2:33-1
700     8cfd.18d3.7d26    DYNAMIC    gpon0/3:24-1
700     20ab.4822.2b28    DYNAMIC    gpon0/1:63-1
