PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/3,29,HWTC7535D99F,cjmacedo,EG8141A5,ROUTER
0/1/3,30,HWTCEDBF5DAA,cooperativa,HG8245H5,ROUTER
0/1/3,33,HWTC26BF6E1E,epcontreras,IC405WSG,ROUTER
0/1/3,35,TPLGB5569310,scferrari3,XN020-G3,ROUTER
0/1/3,36,HWTC59F6D09F,cnaltamirano,EG8141A5,ROUTER
0/1/3,37,ZTEGD6D15FBD,lgaray1,F670LV9.0,ROUTER
0/1/3,38,TPLGB5566D00,rymassimino,XN020-G3,ROUTER
0/1/3,39,HWTC1808B2A6,sdamilano2,EG8141A5,ROUTER
0/1/3,40,HWTC17CE3F9B,msorzabal,IC405WSG,ROUTER
0/1/3,43,HWTC06616BA6,vcoliva,EG8141A5,ROUTER
0/1/3,44,HWTC26F6B01E,nbergamin,IC405WSG,ROUTER
0/1/3,45,HWTC1766FF9B,eraltamirano,IC405WSG,ROUTER
0/1/3,46,HWTC82C48492,mfbergara,IC410WSG,ROUTER
0/1/3,47,TPLG84DB5E00,caortega2,XC220-G3,ROUTER
0/1/3,49,ZTEGD6D1E47D,ecolmedo,F670LV9.0,ROUTER
0/1/3,51,ZTEGD6D143CB,gmassimino,F670LV9.0,ROUTER
0/1/3,52,ZTEGD6D14316,jaltamirano3,F670LV9.0,ROUTER
0/1/3,53,HWTC87ED24B4,nbmunoz,EG8021V5,BRIDGE
0/1/3,54,ZTEGD6D13DC5,mnceballos,F670LV9.0,ROUTER
0/1/3,55,HWTC87F410B4,aagimenez,EG8021V5,BRIDGE
0/1/3,56,ZTEGD6D13D85,smercadel,F670LV9.0,ROUTER
0/1/3,57,HWTC917271A6,dsacosta2,EG8141A5,ROUTER
0/1/4,1,ZTEGD6D153F5,walucero2,F670LV9.0,ROUTER
0/1/4,2,HWTC388ACA9D,iferreyra,EG8141A5,ROUTER
0/1/4,5,HWTC8227A792,rhidalgo,IC410WSG,ROUTER
0/1/4,6,HWTC340A18A6,erponce,EG8141A5,ROUTER
0/1/4,7,HWTC26B0B81E,ifperezlindo,IC405WSG,ROUTER
0/1/4,8,HWTC8234FD92,gmachuca1,IC410WSG,ROUTER
0/1/4,9,ZTEGD6D15F78,mrfacchinelli,F670LV9.0,ROUTER
0/1/4,10,HWTC065094A6,ssfuertes,EG8141A5,ROUTER
0/1/4,11,ZTEGD6D13CB0,ldominguez,F670LV9.0,ROUTER
0/1/4,12,HWTC26260B1E,bcbustos,IC405WSG,ROUTER
0/1/4,13,HWTC2699741E,cvergara,IC405WSG,ROUTER
0/1/4,14,HWTC82589E92,mcurizar,IC410WSG,ROUTER
0/1/4,15,HWTC2633CE1E,ramurrio,IC405WSG,ROUTER
0/1/4,16,HWTC82907892,eacenteno,IC410WSG,ROUTER
0/1/4,17,HWTC269EDA1E,sperez,IC405WSG,ROUTER
0/1/4,18,HWTCB3A5A79A,ogcastedo,EG8141A5,ROUTER
0/1/4,19,HWTC2602A11E,mmheredia,IC405WSG,ROUTER
0/1/4,20,HWTC26BED11E,lmaltamirano,IC405WSG,ROUTER
0/1/4,21,HWTC1811A29A,cquevedo,EG8141A5,ROUTER
0/1/4,22,HWTC26C3D61E,eamaya5,IC405WSG,ROUTER
0/1/4,23,HWTC340AD7A6,vdvmarchiori,EG8141A5,ROUTER
0/1/4,25,TPLG8BDDE6B1,mhaltamirano,TX-6610,BRIDGE
0/1/4,26,HWTC82695F92,haberkorn,IC410WSG,ROUTER
0/1/4,27,HWTC2617DA1E,mgodoy1,IC405WSG,ROUTER
0/1/4,28,ZTEGD6D13EB3,jmazcurra,F670LV9.0,ROUTER
0/1/4,29,HWTC82415B92,adclujan,IC410WSG,ROUTER
0/1/4,31,HWTC26E2461E,smaguirre,IC405WSG,ROUTER
0/1/4,32,HWTC2682741E,dbortega,IC405WSG,ROUTER
0/1/4,33,HWTC340AA0A6,bnaimar,EG8141A5,ROUTER
0/1/4,34,HWTC0423241E,aroviedo,IC455WDB,ROUTER
0/1/4,35,TPLG0D9191A0,pjcortez,XC220-G3v,ROUTER
0/1/4,36,HWTCB3ABBF9A,caaguilera,EG8141A5,ROUTER
0/1/4,38,HWTC2620391E,lcaguirrez,IC405WSG,ROUTER
0/1/4,39,HWTC261BB91E,asgarcia,IC405WSG,ROUTER
0/1/4,40,HWTC340AA9A6,rcortiz,EG8141A5,ROUTER
0/1/4,41,HWTC2604DF1E,acarrizo,IC405WSG,ROUTER
0/1/4,43,HWTC02EB2592,maderera2,HG8546M,ROUTER
0/1/4,45,HWTCAF6BFBB1,drtoso,EG8021V5,BRIDGE
0/1/4,46,TPLGB55687D8,aparera,XN020-G3,ROUTER
0/1/4,47,TPLGB5565780,lbreas,XN020-G3,ROUTER
0/1/4,50,HWTC2B1A499F,acrocha,EG8141A5,ROUTER
0/1/4,52,HWTC5AC79F9B,mboano,IC405WSG,ROUTER
0/1/4,53,TPLGB5566550,malopez,XN020-G3,ROUTER
0/1/4,54,HWTC55561DB4,capillalt,EG8141A5,ROUTER
0/1/4,58,HWTC17167F9B,apfraga,IC405WSG,ROUTER
0/1/4,59,HWTC5A80CF9B,ipheredia,IC405WSG,ROUTER
0/1/4,60,TPLGB55644F0,mhvarela,XN020-G3,ROUTER
0/1/4,61,HWTC174B1F9B,avlsosa,IC405WSG,ROUTER
0/1/4,62,HWTC16C0BF9B,amgosteli,IC405WSG,ROUTER
0/1/4,63,HWTC340AB0A6,clmcastro,EG8141A5,ROUTER
0/1/4,64,TPLG4B2B0A80,jvicens,XN020-G3,ROUTER
0/1/4,65,HWTC18B3489A,afpetrella,EG8141A5,ROUTER
0/1/4,66,HWTC17819F9B,scferrari,IC405WSG,ROUTER
0/1/4,67,HWTC17EA4F9B,mrsosa,IC405WSG,ROUTER
0/1/4,68,ZTEGD6D13EE7,vnortiz,F670LV9.0,ROUTER
0/1/4,69,ZTEGD6D13ED9,saguero3,F670LV9.0,ROUTER
0/1/4,72,ZTEGD6D13C90,eaporporato,F670LV9.0,ROUTER
0/1/4,73,HWTCA46829B1,gacordoba,EG8021V5,BRIDGE
0/1/4,74,HWTCAF5A1CB1,walucero,EG8021V5,BRIDGE
0/1/4,75,ZTEGD6D13F25,smchattah,F670LV9.0,ROUTER
0/1/4,76,HWTC04C94F92,msolguin2,HG8546M,ROUTER
0/1/5,1,HWTC340AA4A6,otobar,EG8141A5,ROUTER
0/1/5,5,HWTC8281CB92,fsarry,IC410WSG,ROUTER
0/1/5,9,HWTC2651C01E,digrillo,IC405WSG,ROUTER
0/1/5,10,HWTC340AC7A6,aamaya3,EG8141A5,ROUTER
0/1/5,12,HWTC82CA8792,emgaray,IC410WSG,ROUTER
0/1/5,13,HWTC269BE21E,ajcortez,IC405WSG,ROUTER
0/1/5,14,HWTC829A6292,jignacio,IC410WSG,ROUTER
0/1/5,15,HWTC26E4ED1E,morono,IC405WSG,ROUTER
0/1/5,16,HWTC82C63592,msaez,IC410WSG,ROUTER
0/1/5,17,HWTC2660A11E,ararguello,IC405WSG,ROUTER
0/1/5,19,HWTC26E3101E,eibequis,IC405WSG,ROUTER
0/1/5,21,HWTC8AB4ACA4,sbayarri,EG8141A5,ROUTER
0/1/5,24,HWTC0476BE1E,mfgarcia2,IC455WDB,ROUTER
0/1/5,25,HWTCE268169D,lnaselli,EG8141A5,ROUTER
0/1/5,26,HWTC5AC6CF9B,retello,IC405WSG,ROUTER
0/1/5,27,TPLGB535173E,ealtamirano,TX-6610,BRIDGE
0/1/5,28,HWTC26BD681E,smromero,IC405WSG,ROUTER
0/1/5,29,HWTC4D19D6AB,uscalderon,HG8245H5,ROUTER
0/1/5,30,HWTC8A0FE0A6,mlmerino,EG8141A5,ROUTER
0/1/5,32,TPLGB5DFFE15,ngquinones,TX-6610,BRIDGE
0/1/5,33,HWTC2604141E,ghidalgo,IC405WSG,ROUTER
0/1/5,35,HWTC064BA2A6,mbfarre,EG8141A5,ROUTER
0/1/5,36,TPLG4B2B12D0,japereyra2,XN020-G3,ROUTER
0/1/5,39,TPLGB5569108,ssmerino,XN020-G3,ROUTER
0/1/5,42,HWTC5D5A57A1,dhidalgo,HG8546M,ROUTER
0/1/5,44,HWTC17412F9B,paltamirano,IC405WSG,ROUTER
0/1/5,45,HWTC18086AA6,vmmiranda,EG8141A5,ROUTER
0/1/5,46,HWTCAF794EB1,pcrognale,EG8021V5,BRIDGE
0/1/5,47,HWTC066719A6,esironi,EG8141A5,ROUTER
0/1/5,48,HWTC2618001E,gmiguez,IC405WSG,ROUTER
0/1/5,49,HWTC18082FA6,cdbolgan,EG8141A5,ROUTER
0/1/5,50,HWTC458F1DB2,cvbarriales1,EG8021V5,BRIDGE
0/1/5,51,HWTC065BF2A6,jmartin2,EG8141A5,ROUTER
0/1/5,52,HWTC275E7A9F,ssosena,EG8141A5,ROUTER
0/1/5,53,ZTEGD6D1600B,pbarrionuevo,F670LV9.0,ROUTER
0/1/5,54,ZTEGD6D13EC1,lahidalgo,F670LV9.0,ROUTER
0/1/5,55,ZTEGD6D13EA5,fmpavon2,F670LV9.0,ROUTER
0/1/5,56,HWTCAF6C46B1,mesalcedo,EG8021V5,BRIDGE
0/1/5,57,ZTEGD6D160AF,jrsilveira,F670LV9.0,ROUTER
0/1/5,58,ZTEGD6D13D08,mhidalgo1,F670LV9.0,ROUTER
0/1/5,60,HWTC458A859F,ajhidalgo1,EG8141A5,ROUTER
0/1/5,61,HWTC87F1B8B4,megonini,EG8021V5,BRIDGE
0/1/5,62,ZTEGD6D13C8F,mcsanchez,F670LV9.0,ROUTER
0/1/5,63,HWTC2603651E,lfsosena,IC405WSG,ROUTER
0/1/7,5,HWTC828FDC92,casosa,IC410WSG,ROUTER
0/1/7,7,HWTC2016259D,mialtamirano2,EG8141A5,ROUTER
0/1/7,8,HWTCEDBF94AA,hlortega,HG8245H5,ROUTER
0/1/7,10,HWTC2637DE1E,mvbusto,IC405WSG,ROUTER
0/1/7,11,HWTC8AE232A6,hjramirez,EG8141A5,ROUTER
0/1/7,12,HWTC2060AA9D,npinhal,HG8546M,ROUTER
